STT,Ten_Xa,F,Q_tb,Q_tb_kiet,sigma,X_tb,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X_nam_i,X_nam_j,h_nam_i,h_nam_j,V_reservoirs,flood_hours,X,X_mean,sigma_spi,salinity_val,K,k,H,h,W_13,w_13,M_xc,m,N,n,P_xl,P,S,S_tn,S_cham,W_18,PA,W_19,demand_increase,TC_dt,TC_nt,Z,z,P_school,p_total,Q_school,p_total_24
166,Phường Ô Chợ Dừa,35.82,67.75,54.55,6.26,37.86,29.96,22.31,5.82,70.83,84.45,97.22,34.39,93.52,80.32,42.67,80.25,62.29,70.85,29.22,63.92,52.82,74.41,36.12,3.65,47.59,28.11,40.04,34.21,43.97,23.1,70.43,66.9,5.8,34.03,72.72,43.27,90.45,50.6,40.04,71.46,9.94,35.42,82.63,38.87,92.98,88.71,82.68,86.81,12.95,36.32,86.51,46.96,93.48,83.34
167,Phường Phạm Sư Mạnh,24.9,63.44,60.21,51.89,99.34,85.31,36.57,19.54,90.33,80.54,78.62,65.06,39.48,74.95,70.01,45.86,64.62,87.61,66.17,12.71,23.18,10.14,17.49,4.03,90.7,57.36,48.59,20.19,37.27,88.17,20.86,49.86,45.75,24.88,60.62,92.2,26.71,43.3,39.67,12.86,94.61,2.1,6.7,36.57,82.62,66.73,58.8,82.65,17.25,26.3,30.19,43.12,20.36,88.81
168,Phường Phan Đình Phùng,11.59,72.9,18.01,3.19,48.9,91.14,17.4,41.34,13.4,45.26,41.56,67.51,11.74,24.12,85.04,83.22,33.48,93.31,69.27,90.42,27.55,45.6,73.59,4.48,43.25,99.05,17.49,70.2,52.32,73.12,43.45,38.58,73.96,10.35,52.63,99.84,77.92,7.71,92.51,68.03,39.15,86.65,51.9,77.65,27.36,31.17,78.42,75.16,4.61,89.45,18.37,95.63,15.08,94
169,Phường Phố Hiến,24.41,78.9,54.7,49.5,75.7,3.56,28.57,38.3,23.53,65.54,83.21,34.25,81.87,21.28,56.87,7.17,75.56,34.48,28.31,28.28,5.77,86.86,49.05,50.5,98.12,19.08,9.93,49.23,44.5,57.08,40.72,25.56,94.85,26.6,93.88,30.98,49.81,42.97,88.98,2.13,93.31,66.74,61,55.99,50.53,71.74,46.35,63.05,90.7,77.72,66.25,59.07,49.34,77.61
170,Phường Phổ Yên,28.86,44.17,38.78,30.25,44.22,52.13,41.64,34.71,70.37,6.9,23.17,65.48,83.93,86.9,95.08,62.58,13.77,7.59,4.02,37.52,57.41,65.57,92.43,21.78,22.96,51.87,24.55,68.86,86.27,76.5,63.27,10.93,93.94,4.19,51.49,30.58,91.91,26.98,97.94,25.06,51.79,26.89,46.02,11.31,74.07,56.8,89.06,74.31,83.84,41.06,32.7,54.19,11.15,48.86
171,Phường Phong Châu,29.1,59.71,70.57,11.8,42.5,79.9,57.72,40.17,49.79,3.34,88.74,36.32,29.37,9.79,10.65,51.61,17.38,13.86,42.64,13.45,51.96,76.56,51.31,80.46,79.69,2.05,8.6,93.85,23.21,86.42,77.07,50.9,68.09,97.89,89.77,22.38,35.62,43.97,88.27,15.47,8.1,58.07,28.44,3.04,38.68,72.54,30.84,91.47,39.34,99.3,2.34,8.54,83.13,40.82
172,Phường Phong Cốc,11.42,41.76,83.96,82.94,3.9,44.52,0.02,2.81,34.56,30.83,75.41,16.12,7.4,28.65,53.84,37.58,37.57,41.52,32.5,56.29,72.77,14.41,58.59,59.06,11.65,42.98,33.5,6.36,75.93,73.93,41.52,75.76,41.64,18.74,27.5,73.89,53.91,48.78,32.77,65.34,20.64,83.82,98.57,61.5,7.25,51.89,93.4,42.34,15.4,33.86,90.35,95.6,64.3,53.35
173,Phường Phú Diễn,42.28,14.95,50.38,71.47,59.18,51.67,16.12,81.61,79.04,26.08,78.83,73.07,30.06,1.53,92.02,27.58,64.99,60.2,6.47,40.95,9.95,48.41,60.78,32.69,45.42,62.31,33.64,20.76,40.65,11.78,40.84,71.63,89.42,7.98,37.15,60.32,0.58,66.57,79.08,42.81,49.5,49.66,85.94,30.44,45.91,79.79,85.78,80.87,67.36,21.97,32.85,26.97,28.91,80.37
174,Phường Phù Khê,6.18,37.17,86.02,50.16,37.37,75.53,67.95,93.82,11.19,9.18,69.26,58.13,95.8,98.48,46.08,46.45,43.02,10.55,46.56,4.52,94.09,85.03,40.51,24.59,77.12,54.71,46.1,37.43,96.47,22.29,10.99,56.98,44.86,58.38,52.06,60.77,19.98,57.16,60.54,78.06,55.47,66.21,19.82,71.53,33.35,31.92,98.59,67.75,74.98,95.38,95.55,60.85,68.92,49.75
175,Phường Phù Liễn,23.83,80.77,13.36,76.97,10.45,74.45,67.04,36.35,24.26,4.85,82.09,69.56,42.86,14.99,5.15,38.78,34.79,84.21,86,38.38,77.22,49.9,67.63,74.32,52.47,9.39,83.54,20.31,0.88,33.01,59.01,31.91,58.87,43.12,36.09,19.68,17.2,43.43,25.17,43.18,74.15,57.84,57.68,23.71,7.6,37.32,94.38,54.81,27.44,31.55,55.36,98.2,87.19,0.93
176,Phường Phú Lương,31.47,70.46,10.97,30.28,50.22,56.28,94.82,37.98,31.46,98.03,92.13,72.15,80.99,18.59,43.88,52.22,63.42,40.46,97.27,32.43,58.47,33.54,26.19,21.43,56.76,35.79,26.73,57.22,64.96,91.57,32.16,98.1,46.93,51.05,32.55,25.6,73.41,73.47,46.47,20.13,20.65,98.75,86.51,54.88,72,25.92,70.78,59.25,86.07,44.96,68.1,71.69,25.5,94.38
177,Phường Phủ Lý,28.18,19.58,61.49,1.39,57.32,18.05,91.52,17.09,99.55,86.78,54.21,22.7,83.62,78.49,22.09,71.97,98.58,70.45,2.81,35.96,43.67,11.19,78.09,83.25,30.85,91.35,23.39,58.32,1.71,45.29,0.47,89.68,77.67,46.28,89.05,25.94,91.1,34.63,35.73,73.05,83.98,85.51,20.74,15.07,41.35,42.35,61.08,46.26,71.6,5.94,11.79,98.88,72.06,63.14
178,Phường Phú Thọ,38.43,85.63,33.68,61.11,93.66,14.99,51.86,90.8,82.84,97.94,94.47,36.18,42.79,93.31,20.47,16.27,46.16,66.06,95.2,43.27,44.73,3.12,24.8,75.41,15.34,68.56,66.63,45.65,10.57,66.65,41.98,72.07,52.78,34.76,10.95,12.65,55.08,51.91,7.35,37.95,9.51,11.79,76.09,96.18,83.32,3.81,0.53,28.56,41.8,32.01,70.37,60.81,29.98,35.13
179,Phường Phú Thượng,17.43,64.89,65.45,21.95,23.22,24.04,29.37,54.06,29.09,28.24,60.82,10.96,69.31,76.99,74.61,19.03,22.13,36.31,29.48,30.57,47.99,94.16,97.27,25.8,62.91,95.41,4.06,93.09,68.18,63.6,64.94,9.63,78.98,28.16,72.06,59.56,23.22,59.33,8.08,91.13,5.71,43.29,21.23,21.93,59.03,16.34,90.21,7.71,65.28,83.87,75.63,29.11,10.02,73.82
180,Phường Phù Vân,38.44,6.26,32.84,59.17,9.15,2.25,69.01,51.86,35.08,51.7,73.27,75.73,40.02,40.01,14.66,7.37,24.18,38.72,7.62,76.6,9,10.15,97.67,68.88,36.01,28.52,49.86,30.06,61.2,85.93,2.14,97.14,84.4,60.74,5.66,30.26,35.97,9.63,23.97,51.67,42.82,82.47,99.25,99.16,75.86,20.31,52.09,92.79,33.59,25.84,18.91,73.61,2.47,81.98
181,Phường Phúc Lợi,23.33,29.18,15.87,72.39,2.4,91.56,24.96,44.45,15.94,1.46,41.09,24.62,25.33,52.9,28.76,5.59,32.37,83.74,25.01,71.94,35.68,61.5,15.28,84.35,22.88,57.97,91.34,17.72,5,22.93,20.29,96.15,33.49,90.27,31.75,39,37,89.15,61.18,24.82,6.15,90.25,17.14,98.84,69.06,5.34,70.46,58.01,32.53,95.38,42.42,91.07,11.06,43.15
182,Phường Phúc Thuận,29.73,22.81,36.67,50.38,8.81,29.01,83.82,47.08,68.51,14.62,81.97,54.1,36.24,73.66,80.6,87.95,68.54,93.52,22.32,94.65,61.27,94.26,86.94,88.47,23.81,96.49,29.47,35.42,5.67,41.45,13.46,3.56,91.85,89.38,40.88,14.74,72.95,86.67,81.41,75.95,64.57,92.16,52.46,34.63,12.39,45.01,8.34,31.73,92.89,79.93,82.15,56,62.1,68.73
183,Phường Phúc Yên,17.17,53.5,30.72,57.93,64.04,56.98,69.53,9.2,19.32,3.53,74.62,31.16,72.25,94.67,91.01,59.53,20.14,92.2,0.13,54.61,40.25,60.7,14,3.84,28.59,59.54,20.38,17.31,13.42,46.63,6.64,83.29,89.46,64.2,31,68.04,50.41,29.14,47.9,92.97,79.3,89.89,96.11,79.82,21.15,86.01,61.78,97.53,61.96,91.75,66.21,44.32,45.41,85.66
184,Phường Phương Liệt,42.64,93.39,91.22,34.69,75,18.97,28.2,98.91,54.18,26.93,27.69,11.15,7.91,60.61,65.22,59.37,1.47,82.67,29.9,30.37,65.87,38.93,74.36,14.72,47.11,99.82,74.91,49.13,26.11,72.43,77.11,3.94,93.8,23.34,69.73,20.09,54.38,81.42,73.07,0.62,58.58,19.63,96.08,14.96,64.01,44.79,30.31,20.07,94.51,5.22,16.29,80.2,64.52,31.13
185,Phường Phương Liễu,25.43,2.82,3.07,64.01,27.59,14.2,91.71,77.15,4.14,79.17,14.07,94.23,42.55,9.98,96.33,38.23,46.37,81.27,60.54,20.75,49.99,76.74,31.27,17.79,37.66,70.85,69.32,15.65,17.18,42.18,11.76,86.66,69.35,51.8,6.76,82.42,84.87,16.35,27.84,46.79,44.64,45.51,71.51,0.8,33.79,55.12,46.93,72.16,13.87,78.61,99.65,84.87,61.63,38.71
186,Phường Phượng Sơn,28.11,10.12,61.77,74.06,49.96,49.37,13.66,49.56,98.8,59.2,31.28,24.82,83.27,13.93,35.93,51.79,60.99,86.16,31.19,96.33,80.28,18.61,65.24,45.69,53.71,75.4,4.44,78.78,68.41,85.33,25.64,84.61,40.85,11.31,54.88,37.54,24.6,51.86,78.24,58.7,94.33,39.53,48.57,64.15,20.84,30.31,89.32,85.01,86.57,20.87,58.37,74.57,47.17,11.06
187,Phường Quan Triều,10.69,84.69,69.18,90.4,38.73,9.67,38.09,30.71,96.07,55.68,71.23,90.96,37.5,61.11,33.65,0.32,12.21,45.61,53.52,17.85,41.89,4.85,56.89,44.77,5.09,2.59,54.84,83.04,69.16,25.92,68.11,74.92,19.23,60.43,44,40.43,9.99,74.57,71.07,80.35,20.32,71.23,95.79,73.85,34.15,38.85,42.66,79.49,68.48,82.19,35.46,30.7,38.54,98.79
188,Phường Quang Hanh,14.76,20.65,57.98,23.53,87.37,12.51,75.66,46.32,35.64,26.55,20.66,4.52,10.67,76.51,2.39,87.79,73.08,36.87,74,81.62,59.66,76.31,75.11,65.92,31.82,47.25,79.77,53.07,0.71,86.15,37.14,5.93,64.66,91,40.78,97.08,83.04,50.37,58.48,42.89,62.53,59.12,49.66,87.72,92.77,27.63,27.3,5,85.75,86.3,46.41,82.33,97.04,83.33
189,Phường Quang Trung,38.85,47.38,80.03,19.95,39.37,76.69,7.41,26.88,95.43,93.75,40.63,72.26,1.09,13.4,69.1,8.75,65.03,2.5,80.81,94.37,15.19,9.43,27.41,68.39,15.08,7.46,15.17,18.9,91.99,23.21,17.13,73.81,17.09,48.2,13.57,95.21,37.97,82.37,54.47,16.89,34.19,73.16,97.23,35.56,65.9,85.01,21.4,68.3,51.69,98.3,16.73,59.59,40.83,35.6
190,Phường Quảng Yên,47.71,71.37,22.19,88.95,55.53,80.68,84.67,32.07,36.41,54.72,67.04,35.98,3.21,18.15,83.76,93.61,1.73,37.99,63.96,38.48,88.09,44.59,58.88,61.36,31.9,44.57,98.49,31.96,35.83,68.82,35.83,47.44,99.58,63.47,29.73,46.35,59.5,41.23,25.63,23.71,54.67,91.44,51.18,80.17,29.72,71.95,95.97,99.18,44,65.98,72.51,91.55,29.7,46.45
191,Phường Quế Võ,10.15,27.78,3.4,86.11,22,12.64,95.67,12.87,50.61,26.28,61.96,41.35,7.49,62.19,37.52,42.96,42.37,72.84,66.17,90.51,83.38,48.69,57.63,10.06,3.9,73.87,71.42,31.27,85.13,36.8,34.42,44.97,75.87,2.75,96.61,16.67,71.5,96.37,69.11,14.66,21.93,75.84,67.26,32.68,53.49,26.12,50.52,17.31,28.92,76.05,46.41,43.88,85,31.6
192,Phường Quyết Thắng,24.81,64.27,59.71,26.54,69.37,13.78,70.98,48.85,49.18,73.77,47.87,38.24,9.15,35.97,20.33,92.1,12.76,94.8,15.62,96.22,1.92,52.69,44.01,22.45,75.4,98.72,24.85,46.54,8.91,43.73,89.11,28.67,92.01,45.53,59.58,59.84,54.34,8.7,61.16,41.74,6.64,20.15,44.22,50.22,56.05,76.34,46.38,47.75,19.13,84.29,9.04,56.23,12.24,14.31
193,Phường Sa Pa,27.1,35.29,0.77,4.65,45.68,89.61,86,24.06,72.09,79.28,31.62,59.49,63.32,15.92,28.58,59.09,8.04,95.5,89.43,76.89,90.99,30.1,30.1,27.16,67.15,48.53,19.11,93.98,5.88,37.54,72.09,17.46,9.32,93.18,99.92,92.36,84.61,83.04,4.01,32.4,88.5,84.31,63.92,0.56,60.4,74.21,39.21,3.98,63.66,30.02,88.04,6.41,23.57,73.17
194,Phường Sơn Nam,22.89,16.3,12.36,8.9,21.96,49.58,85.22,36.59,61.5,36.64,0.71,26.8,52.96,58.13,49.42,73.29,64.59,48.21,17.71,60.74,58.46,67.29,81,55.74,81.33,67.36,47.41,52.41,5.04,10.77,83.3,8.23,17.59,44.72,35.53,37.86,39.93,91.33,73.34,38.74,34.76,87.31,4.13,82.23,85.2,97.95,65.72,21.69,1.73,7.37,26.99,60.21,24.74,11.94
195,Phường Sơn Tây,9.6,11.03,18.49,71.13,9.06,42.98,48.12,15.15,84.45,40.64,64.63,31.01,65.45,52.73,49.74,56.48,85.15,19.02,8.69,41.43,50.74,66.04,98.65,91.65,19.51,51.74,18.76,23.68,83.14,28.54,37.5,1.8,90.62,69.98,78.24,15.33,43.08,51.31,32.02,19.16,94.03,12.88,53.81,45.1,37.45,82.54,75.95,28.52,94.44,16.43,30.17,46.95,34.21,7.23
196,Phường Sông Công,29,7.2,1.67,12.75,67.59,18.42,91.07,9.17,60.71,67.78,94.72,23.82,82.36,37.81,93.1,92.84,6.62,24.25,84.31,34.41,39.88,32.06,72.21,2.69,70.1,35.51,98.56,54.76,49.71,71.74,12.91,88.64,5.77,4.48,78.16,57.17,50.39,33.58,90.44,63.02,53.31,68.23,12.7,86.43,24.05,86.36,73.09,10,74.01,5.31,78.99,27.56,11.58,96.86
197,Phường Song Liễu,48.33,66.86,45.12,58.42,42.23,84.86,21.81,40.83,43.97,51.92,87.93,70.01,55.93,26.28,36.52,18.93,12.13,60.51,46.6,19.58,10.09,53.16,95.2,26.5,13.44,21.34,40.6,69.11,82.42,44.72,36.31,9.67,95.94,5.97,13.18,29.64,66.86,43.77,7.88,98.43,46.39,74.65,99.99,34.99,45.13,78.07,39.27,6.68,15.8,48.26,99.45,64.15,34.54,32.12
198,Phường Tam Chúc,6.84,92.69,87.81,62.24,24.58,46.93,8.69,9.65,51.73,15.96,76.86,24.13,23.55,79.86,47.32,55,84.95,74.01,82.34,3.66,59.85,47.16,91.9,11.02,60.98,77.3,94.61,96.6,92.42,98.63,51.6,55,47.4,87.07,91.57,99.39,33.24,68.69,63.2,52.97,34.25,49.29,63.87,6.19,64.24,21.89,95.85,41.98,67.75,51.43,1.92,20.57,27.05,10.81
199,Phường Tam Điệp,49.88,91.1,55.61,93.75,65.69,43.62,77.69,30.31,37.42,57.57,98.29,51.02,78.63,90.94,54.35,94.6,77.77,72.4,55.93,84.22,5.33,15.13,92.36,1.42,53.41,19.9,91.81,58.79,69.35,19.87,11.83,14.64,91.75,33.74,20.01,20.14,78.59,32.54,72.22,53.33,78.4,55.7,49.03,80.38,0.25,41.76,46.24,68.08,5.67,21.48,6.98,77.41,90.08,67.89
200,Phường Tam Sơn,6.53,67.57,25.76,14.27,58.99,95.2,61.28,95.53,44.23,82.42,17.73,87.82,77.65,50.23,52.35,40.63,98.14,61.74,66.86,9.8,29.03,46.97,47.79,85.38,9.34,94.85,26.09,8.45,20.28,10.29,49.24,84.45,10.78,7.59,83.86,45.03,2.99,28.99,58.9,80.09,72.44,54.07,5.63,69.85,56.53,82.44,26.29,57.16,49.05,70.25,75.28,90.69,80.46,64.59
201,Phường Tam Thanh,43.88,21.83,39.98,65.71,10.27,47.85,54.22,27.64,72.24,34.27,65.33,90.57,54.4,74.53,90.79,69.53,87.92,31.95,35.46,6.99,6.87,47.2,30.57,1.29,77.37,59.84,57.75,95.69,48.59,43.81,48.03,42.57,82.53,54.47,90.24,1.71,55.01,80.91,49.73,46.03,60.86,68.16,97.88,48.37,82.16,18.71,77.7,97.66,78.35,27.3,17.48,41.21,6.9,96.59
202,Phường Tân An,17.41,70.61,35.68,83.56,67.07,98.07,57.66,12.91,24.58,15,88.46,40.04,93.1,98.01,14.93,62.66,4.3,97.02,51.6,81.48,30.85,33.71,24.09,89.04,20.35,22.82,38.97,88.58,31.88,57.58,40.52,59.19,8.14,67.83,69.55,86.43,53.66,19.77,20.81,14.13,48.57,35.43,52.03,67.39,53.97,43.92,69.62,51.83,20.39,68.39,87.44,54.1,97.65,90.31
203,Phường Tân Giang,5.2,86.79,17.65,44.66,62.93,96.63,2.7,1.82,3.28,63.84,33.21,71.8,4.21,77.54,89.91,8.78,46.06,60.2,15.11,65.5,33.41,30.5,73.08,41.46,22.52,1.41,77.77,29.22,49.04,15.77,10.71,27.64,54.86,14.92,37.02,16.22,72.07,18.27,52.55,23.52,30.13,64.8,26.76,62.7,83.89,32.73,7.55,12.34,48.85,84.31,53.91,67.55,56.45,55.44
204,Phường Tân Hòa,8.7,75.11,74.47,53.28,84.57,34.58,43.49,97.15,60.67,5.6,47.06,28.81,34.26,77.35,99.27,88.32,29.07,25.01,22.04,94.42,32.87,86.34,29.95,15.8,7.16,5.61,59.46,67.98,10.27,24.24,66.46,93.19,41.07,74.47,1.69,90.07,97.64,86.53,80.39,67.37,53.82,78.43,48.33,33.77,64.18,41.16,5.33,69.46,23.36,49.73,37.98,63.6,11.05,99.05
205,Phường Tân Hưng,37.18,21.58,30.17,56.24,99.69,24.67,98.77,85.66,56.14,33.15,92.97,62.13,26.87,51.87,47.32,65.88,98.81,19.52,98.43,80.41,92.91,40.91,92.27,7.74,3.5,66.37,95.68,30.46,38.12,42.16,18.53,28.79,37.52,87.56,78.93,30.53,77.58,62.98,23.98,83.07,13.98,45.45,13.67,70.14,80.96,98.44,15.61,58.09,27.82,7.12,75.27,62.73,21.86,50.39
206,Phường Tân Phong,47.73,67.98,34.39,28.64,87.74,94.59,78.54,77.19,15.89,45.51,88.85,85.79,93.84,97.05,59.84,16.4,40.84,69.68,33.96,30.47,20.02,18.26,42.39,6.26,61.24,23.35,4.53,74.93,15.75,67.73,19.24,51.1,27.13,66.94,10.21,4.67,8.71,82.93,5.67,77.91,22.47,0.11,86.47,16.37,85.38,58.81,97.12,32.25,89.95,23.06,9.16,82.46,23.46,46.52
207,Phường Tân Tiến,28.31,95.04,61.33,26.62,10.17,56.43,45.44,63.34,84.82,9.84,21.89,58.46,94.53,0.71,72.07,93.67,79.79,45.27,78.09,7.77,89.01,68.39,66.23,20.29,82.91,24.75,73.09,47.53,56.81,33.48,72.7,4.48,16.77,47.66,87.97,33.27,47.67,56.02,59.48,11.63,97.86,69.3,90.32,17.73,23.68,1.63,1.02,26.92,55.24,39.07,0.09,23.19,51.96,23.62
208,Phường Tây Hồ,15.86,36.72,83.75,6.83,34.22,35.99,38.04,34,53.16,48.83,19.75,85.22,66.42,77.32,20.86,41.02,84.58,65.54,87.04,11.81,83.11,70.98,40.34,41.06,1.82,52.09,53.63,98.49,39.03,24.77,71.9,19.25,89.73,92.45,32.08,73.13,58.75,54.03,43.9,14.73,50.43,71.87,49.55,81.44,32.08,55.52,39.54,29.37,66.28,77.67,12.92,39.09,2.21,37.67
209,Phường Tây Hoa Lư,9.25,71.64,98.77,46.95,90.11,30.77,15.74,69.24,82.29,70.59,0.46,79.32,50.72,54.41,79.61,28.9,35.48,64.83,50.93,34.76,67.45,54.32,89.45,25.84,74.78,83.51,49.82,41.8,31.53,7.81,51.56,25.07,68.91,19.61,90.18,39.08,3.81,5.42,3.52,84.54,99.05,58.96,48.24,63.57,45.84,15.23,41.66,86.68,11.18,85.36,92.69,84.78,30.82,61.23
210,Phường Tây Mỗ,47.26,9.88,44.92,45.59,73.22,89.61,91.61,47.67,48.51,33.24,88.43,64.18,25.51,67.64,44.52,48.04,19.88,11.2,25.91,38.94,36.13,80.32,99.05,61.77,93.36,32.54,54.91,38.58,10.54,90.69,94.65,22.22,75.38,89.78,63.58,8.13,93.44,31.59,88.25,86.41,52.83,5.36,21.9,22.81,66.15,52.23,76.18,74.61,11.59,72.43,68.12,25.5,50.27,98.37
211,Phường Tây Tựu,8.27,6.98,24.22,94.29,74.19,55.28,79.27,74.45,40.78,74.64,82.71,56.55,5.72,71.78,34.01,92.17,51.45,25.02,74.49,95.43,20.26,84.37,1.86,14.58,40.63,55.45,77.22,27.09,80.56,3.66,86.3,30.69,27.55,54.21,93.55,30.22,5.11,23.97,75.85,96.56,71.27,9.15,69.52,59.99,42.24,26.53,2.34,8.2,35.04,52.36,0.27,56.92,8.89,8.92
212,Phường Thạch Khôi,35.78,72.47,83.38,37.91,60.35,62.48,20.58,40.18,22.78,11.05,25.98,18.26,58.96,78.68,42.69,75.26,31.33,83.16,65.92,31.73,82.67,41.58,7.5,68.79,55.43,98.13,56.53,72.65,82,92.42,2.81,55.65,29.26,51.67,36.11,98.73,14.65,7.37,96.33,67.58,62.94,10.1,54.86,85.03,1.62,41.88,76.01,68.01,72.44,76.83,21.87,51.09,69.61,53.24
213,Phường Thái Bình,42.4,17.08,4.59,96.93,81.59,27.27,9.31,93.52,24.89,11.37,31.94,54.86,50.45,16.65,51.44,45.1,52.57,73.99,25.66,3.93,45.05,82.99,93.59,15.88,1.96,15.35,69.86,28.49,23.86,49.14,36.74,71.13,43.63,22.97,44.01,22.42,88.99,3.09,16.9,52.89,61.81,23.74,92.9,85.87,77.49,98.92,57.31,43.15,49.76,67.11,35.98,51.59,71.05,3.07
214,Phường Thành Đông,17.04,95.61,43.61,23.85,77.01,65.19,29.97,45.78,15.59,96.35,86.18,52.61,28.62,7.26,69.39,75.29,83.64,11.2,35.13,9.45,28.8,31,87.81,41.26,15.36,18.32,41.57,60.4,47.02,12.78,25.96,47.89,87.69,95.91,31.95,37.82,99.94,33.15,5.45,63.37,26.38,94.27,71.42,84.54,4.65,4.62,1.01,78.92,71.93,45.14,95.99,33.14,62.34,44.43
215,Phường Thanh Liệt,15.85,35.72,87.59,89.63,79.32,31.82,68.8,34.11,77.3,22.5,75.69,70.41,34.61,6.02,37.31,94.03,4.44,26.72,85.11,22.79,82.52,74.34,84.95,85.58,94.57,41.97,16.7,15.82,81.71,56.14,52.69,42.08,73.74,94.51,27.76,51.77,14.26,13.27,50.94,45.5,12.35,78.98,74.81,52.22,73.41,72.83,31.84,14.22,9.76,73.05,30.38,14.87,32.44,12.65
216,Phường Thanh Miếu,18.99,46.5,61.08,45.11,64.16,1.62,42.12,27.45,88.31,5.69,71.3,5.71,33.6,53.24,63.11,32.73,8.89,83.17,89.48,3.87,21.57,68.85,8.99,94.88,81.18,15.5,63.58,88.74,28.4,52.79,49.65,54.39,36.13,86.74,24.28,30.15,25.81,44.61,61.05,72.47,38.78,63.03,78.86,79.99,72.49,73.62,80.78,29.45,33.67,53.97,74.49,57.35,20.25,57.15
217,Phường Thành Nam,20.99,92.74,34.45,95.21,38.26,63.89,78.38,29.54,30.16,87.14,0.16,68.6,94.58,67.82,88.79,19.33,38.72,87.78,68.6,47.22,45.69,71.51,31.52,87.22,99.2,90.71,60.25,39.64,77.77,10.44,37.98,57.53,98.78,96.66,31.45,60.09,26.52,2.52,37.84,51.24,32.43,13.81,27.7,63.34,86.49,70.95,95.52,88.57,88.49,8.61,32.91,82.06,10.38,18.22
218,Phường Thanh Xuân,19.63,42.13,12.47,53.77,59.97,40.94,83.14,97.36,37.98,37.99,0.46,72.04,39.18,52.82,0.27,42.06,43.55,96.29,81.17,91.6,34.42,61.15,87.39,95.55,81.8,25.35,72.29,87.93,55.56,54.3,47.05,82.06,70.44,78.43,84.8,86.87,93.06,41.18,32.5,59.14,72.37,5.63,76.65,83.14,26.86,70.11,42.28,92.9,81.4,24.94,31.4,51.61,40.08,58.47
219,Phường Thảo Nguyên,34.48,42.27,34.4,71.12,44.7,42.16,5.39,16.55,74.28,83.96,54.09,90.74,91.48,1.31,64.91,84.72,77.51,96.15,56.62,73.55,48.99,37.39,86.95,71.58,20,42.32,57.73,12.52,89.61,67.4,90.64,28.38,1.6,12.77,18.52,53.17,53.12,56.76,88.32,7.99,15.73,73.13,78.17,52.81,7.08,16.54,84.94,31.77,6.43,77.85,96.28,35.65,0.12,95.38
220,Phường Thiên Hương,38.74,66.09,0.81,10.21,41.62,22.43,21.31,88.54,82.02,98.57,5.66,56.74,84.96,68.28,82.15,58.17,78.3,99.94,55.15,22.1,32.21,26.84,97.42,28.21,17.72,81.39,52.69,92.67,99.42,22.46,23.86,14.86,82.32,56.98,40.36,15.53,54.55,28.06,92.97,36.15,9.15,52.67,27.38,5.67,29.45,76.78,17.52,60.31,91.61,84.74,89.71,15.39,9.1,51.62
221,Phường Thiên Trường,41.24,81.38,8.39,31.48,0.49,56.56,14.27,22.97,49.3,50.61,98.25,69.4,57.87,70.24,7.19,51.16,14.02,7.09,41.92,92,64.31,75.74,84.43,78.8,92.4,39.07,18.46,95.58,95.04,60.04,39.03,53.45,60.51,74.31,82.14,6.84,5.36,29.48,45.17,99.04,92.23,35.78,71.52,49.59,13.6,84,1.7,15.19,0.72,35.95,90,21.71,75.62,37.27
222,Phường Thống Nhất,15.43,50.55,98.31,35.45,72.34,94.94,44.33,69.4,36.87,62.13,78.99,32.04,9.22,62.23,13.58,93.46,26.1,2.45,78.15,55.95,24.75,68.01,28.77,74.83,49.07,18.92,33.23,57.83,9.2,36.34,81,90.7,7.14,93.99,92.11,68.83,44.38,69.76,92.3,53.57,65.4,43.47,0.57,90.06,80.41,85.88,51.26,13.16,11.13,90.75,28.2,13.73,54.28,30.69
223,Phường Thuận Thành,48.54,62.95,48.59,89.5,38.96,47.95,26.24,33.12,47.78,6.13,56.21,93.86,10.36,10.37,54.07,49,75.23,80.62,38.31,11.52,75.78,42.83,18.86,7.6,57.24,2.1,22.56,36.8,26.68,64.61,23.96,59.94,74.07,28.28,88.56,20.61,46.04,46.56,6.78,2.13,63.79,1.85,73.24,56.91,13.22,48.07,22.62,99.91,13.31,71.5,95.22,66.58,66,69.5
224,Phường Thục Phán,18.62,60.94,67.34,39.71,4.79,28.9,21.04,82.06,84.99,41.52,50.06,1.77,40.03,71.24,22.69,90.07,69.79,87.43,93.13,27.99,20.42,79.77,77.91,17.84,28.22,98.05,96.45,83.76,53.13,50.98,37.91,72.56,3.49,84.5,99.18,7.42,12.97,11.75,35.39,87.19,76.99,99.23,94.26,86.27,93.61,72.19,53.33,6.47,46.18,91.56,21.12,89.63,64.46,24.1
225,Phường Thượng Cát,30.05,19.95,15.06,31.61,86.27,34.11,53.34,17.35,61.03,45.12,3.84,45.87,41.73,17.11,79.33,82.36,98.95,70.01,67.9,54.2,76.71,83.77,44.35,65.11,26.82,80.05,98.71,35.17,69.03,33.27,87.09,26.58,3.92,65.63,41.71,46.77,35.54,56.43,7.18,40.47,97.97,61.72,16.52,34.64,26.94,6.76,93.13,37.73,68.08,63.73,81.86,51.82,98.67,5.73
